,Post,Title,Replies,Views,Comment#,Query,Contents,Len,Days,Link,visit,read,topic,posts,given,received,topic_c,post_c,HelpLabel,AnswerLabel
510,92,Too many vibrations,9,1556,2,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks","Thanks for your help My first flying experience was quite good but last 3 flights my quad become erratic. I don’t have any video to show you but it’s really disturbing. it can’t keep stabilised. It lower 2m than try to climb 5m, go left, right … i have already done compass and accelero calibration. Don’t know what to do  I’ve change 2 props kits and same, no amelioration at all. But one thing I’ve observed that is one motor turning really hard than others. This can be my issue ??",484,3,0,10,34m,6,40,0,0,2,6,0.6667,0
511,92,Too many vibrations,9,1556,3,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks","My quad is an Upair one V3. I can not access barometer but t’s inside the quad than no light or wind. just another point, i have nno more my quad icon on mission planner. Is ther a link between GPS issue and this icon ? Than can explain all this ?",247,3,0,10,34m,6,40,0,0,2,6,0.3333,0
512,92,Too many vibrations,9,1556,4,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks",You will need to post your flight log for anyone to dig deeper into your problems.,82,3,0,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,0,0
513,92,Too many vibrations,9,1556,5,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks",here is the last flight log and really scary … * (1.3 MB),57,6,1,10,34m,6,40,0,0,2,6,0.3333,0
514,92,Too many vibrations,9,1556,6,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks",just 2 minutes but two minutes that was eternity ,49,6,0,10,34m,6,40,0,0,2,6,0,0
515,92,Too many vibrations,9,1556,7,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks","You have some vibrations, although not excessive by any means, they are erratic. Is everything tight on the quad? Have you balanced the props? Are the motors all aligned vertically? Is the quad balanced? Have you done an ESC calibration? It is evident you were fighting the craft, especially pitch wise. Have you done an autotune?",330,7,0,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,0.6667,0
516,92,Too many vibrations,9,1556,8,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks",Thanks Everything is tight. Props are well balanced. Waiting for dji original one to test them. Motors are aligned correctly. ESC calibration done. RC calibration too. Will try autotune as soon as weather will permit. Still raining for 1 week. I will let you know.,264,8,0,10,34m,6,40,0,0,2,6,1,0
517,92,Too many vibrations,9,1556,9,"Hi Upair V3, 1.0.0.2 - arducopter firmware 3.2.1 I need your help  When i take off my quad seems to move erratic climb 10m, fall 2m, go left 1m, right 2m etc … Here is the log i get from sensor, can anyone tell me where is the pb ? * * the end of the log is when i tried to land  Thanks",Hi I’m looking for the upair v2 or 3 firmware as mine is corrupted,66,362,0,1,3m,2,10,0,0,0,1,0,0
518,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,1,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","Poor altitude hold is usually an indicator of too much vibration getting through to the IMU. Although your X and Y spike quite a bit they don’t look excessive and even though the Z is not too bad it does seem to bounce around quite a bit. Is the FC secure in it’s mount?  Your Desired to actual roll and pitch is a bit off. Have you done an autotune? Flying it in Alt hold without getting stabilise working correctly is asking for problems. Rather than dump the copter you could have switched to Stab to land. You seem to be driving it mostly from the GCS, setting your flight modes, rather than using a transmitter switch. Just wondering why? With a poor tune, and a heavy/underpowered copter, it not surprising you are having issues. Your motors are maxed out most of the time leaving very little for stabilisation.",817,0,1,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,1,0
519,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,2,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","I agree with Mike, your copter in underpowered , compass not well calibrated and  you battery is not in a great shape.",118,0,0,478,5d,1.5k,10.7k,10,79,52,487,1,0
520,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,3,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","Thanks for the detailed analysis. The same issues are apparent in stabilise. I’ve been flying that setup for while without problem with that tune, it’s quite a sudden change. Which may (but I had been working well with it) coincide with a new controller setup. I’m using a 3dr solo board and controller to transmit video, controls and telemetry. So changing flight mode is done via mavlink. I’d noticed that the roll and pitch weren’t dialed in. But previous flights they had been. I’ll recalibrate and tune tomorrow and have another go. Yep those batteries are old but light, just using to test. It should be between 50-65% thrust for hover, so it’s very strange that it’s outputting that much to maintain hover. Which is leading me to think one motor isn’t outputting properly.",779,0,0,82,14h,126,973,0,2,10,48,0.3333,0
521,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,4,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *",I’ve uploaded a previous log (same link) with the same setup and tune for comparison.,85,0,0,82,14h,126,973,0,2,10,48,0,0
522,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,5,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *",From the previous log you are still using about 1650 out of 1800 to hover. That is very little headroom for stabilisation. So your margins for error are very little. Any change in weight/turbulence/available power/tuning is going to throw the copter right off.,260,0,1,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,1,0
523,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,6,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","Yep. Very turbulent location. Less weight than normal but pushing it. I’ll retune, calibrate and hopefully I’ll have something usable. I thought the parameters for that flight set throttle hover at 65% which I would have thought less stressful than what the RC out is telling us. I thought 65% was ok for a smooth flying aerial rig. Thanks for the insight Mike given me more to think about.",390,0,0,82,14h,126,973,0,2,10,48,0,0
524,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,7,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","Right redone compass calibration and got a nice autotune. Things back to normal relatively. The power issue is a concern and one thing I have noticed my current solo controller only outputs up to 1860 on rc3 (trust) my previous Taranis went up to 2006. MOT_PWM_MAX is set to RC_limit which is defined by controller calibration so right off the bat i’m losing 150 PWM of power at the top end. Should I set  MOT_PWM_MAX to a higher limit (up to 2200) if I am confident that the motor/esc can handle the power? Is the rc_3 input scalable, so if I do add to the MOT_PWM_MAX value I will actually be able to get a higher thrust value than the controller will output? Obviously limiting it to below the MOT_PWM_MAX value so stability can be maintained.",746,1,0,82,14h,126,973,0,2,10,48,0.6667,0
525,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,8,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *",The outputs should be reset with an RC calibration. Have you recalibrated the RC?,81,1,0,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,0.6667,0
526,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,9,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *",Yes the output limit has been set to the new RC calibration. Which is limiting the max output power based on the fact that the new controller trust only outputs to 1860. I don’t see the logic. So I changed mot_pwm_max from 0 (0 matches rc_3 calibration) to 2000. But that hasn’t seemed to enable higher rc_out for the motors. There’s a lot more power in those motors.,367,1,0,82,14h,126,973,0,2,10,48,1,0
527,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,10,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *","The PWM from your transmitter goes through a few transformations. It works like this (my understanding):   Arducopter expects a PWM input from your transmitter. The range is determined by RC3_MIN and RC3_MAX. These ranges are set by RC calibration. PWM values outside of this range are clamped.   Arducopter’s final PWM output is a range between MOT_PWM_MIN and MOT_PWM_MAX. This range doesn’t have to match the RC input, although it should if you calibrated your ESC’s with your transmitter.   The ESC receives PWM from the flight controller. The ESC’s are calibrated to expect some range of PWM, and it should match the MOT_PWM range.   So after you changed your transmitter PWM from 2006 to 1860, you would have lost 150 PWM on the top end because your MOT_PWM parameters were set to be equal to your RC inputs. Setting MOT_PWM_MAX to 2000 should have gained that back, although this is assuming that your ESC’s are calibrated to expect up to 2000, so that might be your next step: recalibrate or verify the calibration of your ESC’s. Ostensibly, your RC’s minimum PWM has changed as well, so it is probably worth it to just recalibrate your ESC’s and set your RC and MOT parameters to match.",1195,3,0,1.1k,6d,2.2k,19.0k,13,136,12,576,1,0
528,94,"Suddenly Copter behaving wildly, altitude drops and overall loss of control",11,1535,11,"Hi Looking for an experienced eye to look over a log for me. I’m experiencing a much less stable flight with very bad altitude maintenance, hardly any control other than at extreme throttle on the sticks. I think judging for the logs that the octo is finding it hard to maintain yaw position and counterclockwise motors rc3,rc4,rc5,rc6 are outputting very little in these drop situations. I’ve checked motor angles and made sure they’re perfectly straight.The octo was flying well with the same setup a couple of days ago. Appreciate any advice. Here’s the log and param file. *",I was thinking similar. I’ve never actually “calibrated” esc’s as it has always given me trouble. But matching the input range to the mot_pwm_ values makes sense to me now. Still doesn’t resolve the issue why ardupilot is only outputting 1848 now rather than 1950 as before. Regardless of mot_pwm_max seeing which seems to have no effect. What else could be limiting the output?,378,4,0,82,14h,126,973,0,2,10,48,0.3333,0
529,96,Violent spinning on maiden flight w/ inverted crash (Loiter),4,1207,1,"I had a bad maiden flight yesterday. Gear list:  Custom frame, very similar in layout/size/design as the DJI S1000 DJI e1200 Pro propulsion (motor/esc/prop combo). These ESCs require manually setting the MOT_PWM_MIN MOT_PWM_MAX PWM range [1050, 2000]. Pixhawk w/ AC 3.4.4  The maiden flight was done in loiter mode, with the intent that this would be more stabilized than AltHold or Stabilize modes. Should maiden flights always be performed in Stabilize mode? By going straight to loiter, did I prevent the system from auto-learning something? The flight was short (30 sec total?):  Immediately started rapid toilet bowling: maybe 0.5 to 1 revolution a second. The copter spun in this manner all the way through to crash. Copter kept increasing in altitude, despite me cutting out throttle entirely. Copter eventually inverted and quickly descended with a hard impact. Flight path was an arc, almost like a rainbow in shape.  Preflight checks:  Compass cali was done just prior to flight, using onboard cali. Accel cali was done in the shop Confirmed correct motor order in shop (using MP motor test) Confirmed motor rotation and prop directionality just prior to flight Prior to lift off, I rev’ed up the motors but not enough for lift off; I examined those logs and everything looks normal. (happy to upload this log as well).  Looking at the logs and auto-analysis, it looks like the primary cause was magnetic interference with the compass. Can I get a second set of eyes? What could I have done to prevented or mitigated the outcome of this flight?  I’ve heard of some people having a kill switch on their radio. How can I test magnetic interference prior to maiden flight?  Thanks! * (583.7 KB) * (1 KB)","Sorry to hear about your crash, but you skipped way too many steps. No.1 - Keep Stabilise as a fall back mode for all testing. No. 2 - Start test flights in Stabilise. No. 3 - Move upwards in automation in your flights slowly. By this I mean, once it flies nicely in Stabilise, select altitude hold, then, once you have it flying nicely go to position hold, and then loiter. If all is good in Loiter then it’s time to test things like RTL. You will find you need to make adjustments and tuning at each stage as the default values will get you in the air but cannot predict the handling characteristics of each machine. That’s when you will be doing your auto tune.",664,0,0,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,1,0
530,96,Violent spinning on maiden flight w/ inverted crash (Loiter),4,1207,2,"I had a bad maiden flight yesterday. Gear list:  Custom frame, very similar in layout/size/design as the DJI S1000 DJI e1200 Pro propulsion (motor/esc/prop combo). These ESCs require manually setting the MOT_PWM_MIN MOT_PWM_MAX PWM range [1050, 2000]. Pixhawk w/ AC 3.4.4  The maiden flight was done in loiter mode, with the intent that this would be more stabilized than AltHold or Stabilize modes. Should maiden flights always be performed in Stabilize mode? By going straight to loiter, did I prevent the system from auto-learning something? The flight was short (30 sec total?):  Immediately started rapid toilet bowling: maybe 0.5 to 1 revolution a second. The copter spun in this manner all the way through to crash. Copter kept increasing in altitude, despite me cutting out throttle entirely. Copter eventually inverted and quickly descended with a hard impact. Flight path was an arc, almost like a rainbow in shape.  Preflight checks:  Compass cali was done just prior to flight, using onboard cali. Accel cali was done in the shop Confirmed correct motor order in shop (using MP motor test) Confirmed motor rotation and prop directionality just prior to flight Prior to lift off, I rev’ed up the motors but not enough for lift off; I examined those logs and everything looks normal. (happy to upload this log as well).  Looking at the logs and auto-analysis, it looks like the primary cause was magnetic interference with the compass. Can I get a second set of eyes? What could I have done to prevented or mitigated the outcome of this flight?  I’ve heard of some people having a kill switch on their radio. How can I test magnetic interference prior to maiden flight?  Thanks! * (583.7 KB) * (1 KB)","Ok, Toilet bowling is where the copter starts to move around in a circle that becomes larger with each turn. In your case you were in a spiral where the copter was spinning around in a circle.  Not good.  I would check the motors and motor direction.  You may have the motors in the wrong order or spinning in the wrong direction. Use Mission planner and the motor test screen and check that the motors spin in order. Stabilize is the best mode to test that the copter will function correctly.  Loiter is an assisted mode and will try to fly itself assuming that the hardware is functioning correctly. Mike",606,1,0,2.3k,6d,2.5k,12.4k,0,34,44,907,1,0
531,96,Violent spinning on maiden flight w/ inverted crash (Loiter),4,1207,3,"I had a bad maiden flight yesterday. Gear list:  Custom frame, very similar in layout/size/design as the DJI S1000 DJI e1200 Pro propulsion (motor/esc/prop combo). These ESCs require manually setting the MOT_PWM_MIN MOT_PWM_MAX PWM range [1050, 2000]. Pixhawk w/ AC 3.4.4  The maiden flight was done in loiter mode, with the intent that this would be more stabilized than AltHold or Stabilize modes. Should maiden flights always be performed in Stabilize mode? By going straight to loiter, did I prevent the system from auto-learning something? The flight was short (30 sec total?):  Immediately started rapid toilet bowling: maybe 0.5 to 1 revolution a second. The copter spun in this manner all the way through to crash. Copter kept increasing in altitude, despite me cutting out throttle entirely. Copter eventually inverted and quickly descended with a hard impact. Flight path was an arc, almost like a rainbow in shape.  Preflight checks:  Compass cali was done just prior to flight, using onboard cali. Accel cali was done in the shop Confirmed correct motor order in shop (using MP motor test) Confirmed motor rotation and prop directionality just prior to flight Prior to lift off, I rev’ed up the motors but not enough for lift off; I examined those logs and everything looks normal. (happy to upload this log as well).  Looking at the logs and auto-analysis, it looks like the primary cause was magnetic interference with the compass. Can I get a second set of eyes? What could I have done to prevented or mitigated the outcome of this flight?  I’ve heard of some people having a kill switch on their radio. How can I test magnetic interference prior to maiden flight?  Thanks! * (583.7 KB) * (1 KB)","Thank you both for the guidance. Sounds like the consensus is: always start in stabilize on a new build. *, Updated title; you are right, it was spiraling/yawing rapidly, not toilet bowling. I feel a bit dumb; this isn’t my first AC rodeo (maybe my 5th pixhawk setup now?). I’ve found loiter to be my favorite mode for tweaking thinks/checking telemetry (for errors/etc), so I mistakenly figured I would just start there. I even re-read the first flight docs prior to this flight, but mistook that for people who are doing their first flight with AC, not necessarily their first flight with a new build. My mistake. I am going to triple check the motor order and motor+prop direction to verify those were all setup correctly. Would love input on what others think about the compass interference. (I will be looking at alternative mounting positions).",850,1,0,23,2h,54,403,0,1,5,13,0.3333,0
532,96,Violent spinning on maiden flight w/ inverted crash (Loiter),4,1207,4,"I had a bad maiden flight yesterday. Gear list:  Custom frame, very similar in layout/size/design as the DJI S1000 DJI e1200 Pro propulsion (motor/esc/prop combo). These ESCs require manually setting the MOT_PWM_MIN MOT_PWM_MAX PWM range [1050, 2000]. Pixhawk w/ AC 3.4.4  The maiden flight was done in loiter mode, with the intent that this would be more stabilized than AltHold or Stabilize modes. Should maiden flights always be performed in Stabilize mode? By going straight to loiter, did I prevent the system from auto-learning something? The flight was short (30 sec total?):  Immediately started rapid toilet bowling: maybe 0.5 to 1 revolution a second. The copter spun in this manner all the way through to crash. Copter kept increasing in altitude, despite me cutting out throttle entirely. Copter eventually inverted and quickly descended with a hard impact. Flight path was an arc, almost like a rainbow in shape.  Preflight checks:  Compass cali was done just prior to flight, using onboard cali. Accel cali was done in the shop Confirmed correct motor order in shop (using MP motor test) Confirmed motor rotation and prop directionality just prior to flight Prior to lift off, I rev’ed up the motors but not enough for lift off; I examined those logs and everything looks normal. (happy to upload this log as well).  Looking at the logs and auto-analysis, it looks like the primary cause was magnetic interference with the compass. Can I get a second set of eyes? What could I have done to prevented or mitigated the outcome of this flight?  I’ve heard of some people having a kill switch on their radio. How can I test magnetic interference prior to maiden flight?  Thanks! * (583.7 KB) * (1 KB)","Jeff, The only time I have see this was on a DJI S900. If your using any after market arms, or motor mounts, be sure to closely monitor the degree of tilt in each motor mount.  If your still using stock motors and mounts, be sure to check the vibrational bushings, if the blow out, which they will, then it can effect your bird. Secondly, you should remove your props and perform an all in one ESC calibration, this will ensure that your ESC are mapped to the exact Pulse Width Modulation (PWM) values that your Remotes controls throttle (RC3) is putting out. Check your GPS_NAVFILTER parameter also, and make sure that it’s set to the default value. When performing you magnetometer (Compass) calibration, make sure that your using the strictest setting that your Compass in both the Pixhawk and your external GPS puck can handle.  Also, don’t introduce more metal to the bird after performing this calibration. Lastly,  I️ can almost guarantee you that you need to do an all in one ESC calibration, just search Pixhawk all in one calibration on YouTube.  If that doesn’t work then pay close attention to motor mount orientation. if this stuff doesn’t work, then hit me up again and I will give you some more stuff the try.",1224,299,0,91,9h,91,997,7,3,3,13,1,0
533,97,Flyaway in land mode after GPS glitch,9,2186,1,"We’re quite new to ArduPilot, so we may be missing something obvious here… The other day we were doing a fairly simple test with our tricopter. The test area was right next to a river — probably not the best choice in hindsight! The mission was to fly to a few waypoints in a fairly small area (all on the near side of the river), and then RTL. The first flight went fine. However, during the second flight, we got a “GPS Glitch” and the drone suddenly started flying across the river. At the time, we observed that it was flying on its side, and appeared to be gradually descending. We tried to gain control using the RC, but were unable to. We then lost sight of the drone, and were unsure whether it had landed in the river or on the far side of it. A few days later, we managed to get access to the property on the other side of the river and found our drone — remarkably almost completely unharmed! We were able to access the dataflash logs, but we’re having trouble figuring out exactly what happened. Here’s our interpretation of *.  The first flight (from about timestamp 16:54:00 to 16:56:30) was fairly uneventful. After that, we tried the same mission again (starting at about timestamp 16:59:00), and fairly shortly after takeoff we got a GPS Glitch which caused the drone to go into Land mode. The GPS Glitch seemed to be caused by a variance between the “GPS” and “POS” positions. (As seen plotted on the map while viewing the log in Mission Planner.) That variance disappeared very suddenly at the same time as the “EKF primary changed” message appeared, which we assume means that switching to a different IMU fixed the incorrect position reading. Our guess is that the EKF position was incorrect (as a result of an IMU problem) while the GPS position was correct. At this point, the drone was still on the near side of the river, although not where it should have been. However, it suddenly started going across the river while still apparently in Land mode.  The altitude readings in the log show that the drone was indeed descending (as was appropriate for Land mode) while crossing the river. What we don’t understand is why it wasn’t staying in the same spot while doing so. Could this be related to the fact that the drone was flying on its side? The log analysis shows the following. Could the compass issues raised by the analysis be the problem here? *","Without GPS, it will not hold position.  It will drift with the wind and inertia. What do you mean it was “on its side”?",120,0,0,965,4d,1.7k,9.0k,74,282,42,715,0.6667,0
534,97,Flyaway in land mode after GPS glitch,9,2186,2,"We’re quite new to ArduPilot, so we may be missing something obvious here… The other day we were doing a fairly simple test with our tricopter. The test area was right next to a river — probably not the best choice in hindsight! The mission was to fly to a few waypoints in a fairly small area (all on the near side of the river), and then RTL. The first flight went fine. However, during the second flight, we got a “GPS Glitch” and the drone suddenly started flying across the river. At the time, we observed that it was flying on its side, and appeared to be gradually descending. We tried to gain control using the RC, but were unable to. We then lost sight of the drone, and were unsure whether it had landed in the river or on the far side of it. A few days later, we managed to get access to the property on the other side of the river and found our drone — remarkably almost completely unharmed! We were able to access the dataflash logs, but we’re having trouble figuring out exactly what happened. Here’s our interpretation of *.  The first flight (from about timestamp 16:54:00 to 16:56:30) was fairly uneventful. After that, we tried the same mission again (starting at about timestamp 16:59:00), and fairly shortly after takeoff we got a GPS Glitch which caused the drone to go into Land mode. The GPS Glitch seemed to be caused by a variance between the “GPS” and “POS” positions. (As seen plotted on the map while viewing the log in Mission Planner.) That variance disappeared very suddenly at the same time as the “EKF primary changed” message appeared, which we assume means that switching to a different IMU fixed the incorrect position reading. Our guess is that the EKF position was incorrect (as a result of an IMU problem) while the GPS position was correct. At this point, the drone was still on the near side of the river, although not where it should have been. However, it suddenly started going across the river while still apparently in Land mode.  The altitude readings in the log show that the drone was indeed descending (as was appropriate for Land mode) while crossing the river. What we don’t understand is why it wasn’t staying in the same spot while doing so. Could this be related to the fact that the drone was flying on its side? The log analysis shows the following. Could the compass issues raised by the analysis be the problem here? *","It was an ekf failsafe caused by a extensive gps glitch. When land is initiated by ekf failsafe it will NOT use gps for holding position. The code assumes that position information are compromised. The point is, that once a failsafe is initiated a land without gps, there will be no mode changes or start using gps, even if the glitch is cleared and ekf position solution become valid again. Only an RC or Mavlink command can change back to loiter or any other mode.",466,0,0,1.7k,12d,7.2k,47.7k,123,572,12,1.7k,1,0
535,97,Flyaway in land mode after GPS glitch,9,2186,3,"We’re quite new to ArduPilot, so we may be missing something obvious here… The other day we were doing a fairly simple test with our tricopter. The test area was right next to a river — probably not the best choice in hindsight! The mission was to fly to a few waypoints in a fairly small area (all on the near side of the river), and then RTL. The first flight went fine. However, during the second flight, we got a “GPS Glitch” and the drone suddenly started flying across the river. At the time, we observed that it was flying on its side, and appeared to be gradually descending. We tried to gain control using the RC, but were unable to. We then lost sight of the drone, and were unsure whether it had landed in the river or on the far side of it. A few days later, we managed to get access to the property on the other side of the river and found our drone — remarkably almost completely unharmed! We were able to access the dataflash logs, but we’re having trouble figuring out exactly what happened. Here’s our interpretation of *.  The first flight (from about timestamp 16:54:00 to 16:56:30) was fairly uneventful. After that, we tried the same mission again (starting at about timestamp 16:59:00), and fairly shortly after takeoff we got a GPS Glitch which caused the drone to go into Land mode. The GPS Glitch seemed to be caused by a variance between the “GPS” and “POS” positions. (As seen plotted on the map while viewing the log in Mission Planner.) That variance disappeared very suddenly at the same time as the “EKF primary changed” message appeared, which we assume means that switching to a different IMU fixed the incorrect position reading. Our guess is that the EKF position was incorrect (as a result of an IMU problem) while the GPS position was correct. At this point, the drone was still on the near side of the river, although not where it should have been. However, it suddenly started going across the river while still apparently in Land mode.  The altitude readings in the log show that the drone was indeed descending (as was appropriate for Land mode) while crossing the river. What we don’t understand is why it wasn’t staying in the same spot while doing so. Could this be related to the fact that the drone was flying on its side? The log analysis shows the following. Could the compass issues raised by the analysis be the problem here? *",I’d be very concerned about the compass error. Without a reliable compass you can end up with some really erratic behavior. Is your compass/gps unit mounted on a mast or directly on the frame? Any big electrical currents near it?,229,0,0,41,9h,158,1.6k,0,3,2,13,0.6667,0
